Identifier,Fish ID,Feed,Position,Replicates,Fish_Type,Lipid_%,C4:0,C6:0,C8:0,C10:0,C11:0,C12:0,C14:0,C14:1,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n9c,C18:1n9t,C18:2n6t,C18:2n6c,C18:3n6c,C18:3n3c,C20:0,C20:1n9,C20:2,C20:3n6,C20:4n6,C21:0,C20:3n3,C20:5n3,C22:0,C22:1n9,C22:2,C23:0,DPA,C22:6n3,C24:0,C24:1n9
S17_F2_R3,S17,C,F2,R3,Big,16.13,0.032869816,0,0,0,0,0.056380721,2.651538044,0.064615784,0.084196488,0.2190234,12.29535312,3.017239503,0.311882092,0.337736053,1.96545506,26.15760628,1.708699815,0.160445282,18.523007,0.141021532,7.703681432,0.38465303,4.636754911,1.574258147,0.432836514,0.304416674,0.720759651,1.119596338,3.683661304,0.162464025,1.966690632,0.341384392,0.113496896,1.565991326,4.676312084,0.064235556,0.36754881
S17_H_R1,S17,C,H,R1,Big,7.28,0.041592634,0,0,0,0,0.079215281,2.374109618,0.083863815,0.193512246,0.063684437,10.890067,2.74895244,0.217294403,0.164740246,9.248013099,25.43759496,1.367318379,0.136547241,17.10197656,0.441281123,7.046245735,0.294561943,3.779749639,1.321471437,0.386627612,0.305776938,0.615678729,1.018731337,3.512965925,0.107302282,1.491633437,0.200248778,0.12791084,1.420300103,4.94609572,0.016329685,0.237836528
S17_H_R2,S17,C,H,R2,Big,6.08,0,0,0,0,0,0.074807576,1.871865544,0.077294158,0.164357681,0.065362425,9.917024061,2.189508041,0.181288595,0.096462837,3.517018036,35.26214525,1.954664154,0.118671048,14.69211055,0.241330594,6.046824028,0.310459382,3.690082754,1.222943599,0.396080372,0.412279721,0.573994945,0.920626418,3.573126302,0.118988264,1.628718291,0.19128451,0.19718286,1.50022782,5.968186386,0,0.29776061
S17_H_R3,S17,C,H,R3,Big,8.96,0,0,0,0,0,0.060091751,1.991011656,0.073148515,0.172296989,0.062889081,10.22604273,2.317771302,0.19424978,0.100711258,5.336221191,33.02823517,1.707127071,0.128056629,15.51233664,0.249318895,6.244196913,0.329206283,3.893240602,1.27174338,0.382910195,0.336989945,0.559394374,0.920304967,3.305366437,0.138392847,1.690292489,0.182273674,0.126297826,1.452471595,5.248568534,0,0.315856342
S17_T_R1,S17,C,T,R1,Big,3.29,0.20724637,0,0,0,0,0.231261442,1.578823236,0,0.191748057,0.320093182,11.5893375,1.722188998,0,0.217190848,3.357989304,34.11955707,2.376598055,0,11.01152576,0.198408869,4.759007176,0.268840891,2.903172527,1.034072113,0.429586428,0.669533437,0.475082522,0.824231369,4.620959168,0,1.210567449,0,0.225382018,1.862944331,11.55768174,0,0.397047197
S17_T_R2,S17,C,T,R2,Big,5.89,0.02994752,0,0,0,0,0.055216968,2.737980326,0.065029973,0.093911382,0.221264478,12.58688413,3.173174954,0.32873807,0.140523369,1.948043916,23.16111243,1.332825227,0.146020194,20.17529651,0.327068994,8.225054354,0.426236033,5.012139408,1.671327141,0.438328996,0.291959541,0.748005411,1.152077727,3.53572719,0.173505368,2.166862878,0.142530706,0.121202153,1.564864535,4.398893951,0.036500873,0.308751005
S17_T_R3,S17,C,T,R3,Big,6.43,0,0,0,0,0,0.066575378,2.752922171,0,0.096775681,0.224750781,12.47986746,3.161214479,0,0.151403691,2.296984851,23.74287571,1.642507019,0.146933049,20.18156045,0.322165404,8.306239966,0.406599267,4.836096779,1.628477262,0.447501353,0.307316555,0.739744896,1.161133196,3.622528236,0.162852423,2.04680661,0.22779005,0.128716258,1.58895618,4.829283258,0,0.340643099
S18_NQC1_R1,S18,C,NQC1,R1,Big,19.1,0,0,0,0,0.045282821,0.045750412,2.6407648,0.064703998,0.082510964,0.214136122,12.17071368,2.997467473,0.313050815,0.335553611,2.912250566,23.48128641,1.492401033,0.153495421,19.56542484,0.30159091,7.879225021,0.413352647,5.207559122,1.761582626,0.409192804,0.304136451,0.80849841,1.136482917,3.506380454,0.163657989,2.039739788,0.359567725,0.108658874,1.6398247,4.568230884,0.041352589,0.373158471
S18_NQC1_R2,S18,C,NQC1,R2,Big,4.8,0.093930758,0,0,0,0.090273099,0.127871361,1.818785709,0,0.071772242,0.174895559,10.36099763,2.053038226,0.157115228,0.329504104,2.835017258,41.35438084,2.393786502,0,13.79327772,0.222503538,5.736015604,0.308829313,3.485668491,1.28997416,0.36444998,0.382929794,0.588304526,0.88395572,3.528522592,0.121575095,1.448475084,0.274225914,0.13061365,1.495362454,1.728461209,0,0.339735069
S18_NQC1_R3,S18,C,NQC1,R3,Big,6.92,0.066320546,0,0,0,0.081017958,0.08754147,1.847173361,0.052851242,0.069247202,0.167478694,9.617907747,2.080927032,0.163593269,0.249775885,2.645125694,39.23405431,2.124956124,0.059850271,13.83305898,0.216575306,5.640234775,0.294901547,3.717735019,1.271534255,0.330607143,0.326547873,0.583724593,0.847269075,3.124513383,0.123310864,1.489655657,0.305184828,0.138167008,1.410056953,5.545643803,0,0.297079967
